City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
582,Sao Jose Da Coroa Grande,BR,76.55,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
584,Port-Gentil,GA,76.96,scattered clouds,-0.7193,8.7815,Fengshui Residence
587,Kupang,ID,77.56,broken clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
590,Sechura,PE,75.88,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
591,Sur,OM,86.07,broken clouds,22.5667,59.5289,Sur Plaza Hotel
596,Sao Joao Da Barra,BR,78.89,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
602,Selaphum,TH,79.66,overcast clouds,16.0299,103.9383,ศิวิไลซ์โปรเจคท์
603,Sulangan,PH,83.66,scattered clouds,11.1373,123.7228,Maia's Beach Resort
604,Roma,US,79.83,clear sky,43.2128,-75.4557,Wingate By Wyndham Rome
607,Kieta,PG,79.16,moderate rain,-6.2167,155.6333,Uruna Bay Retreat
608,Oriximina,BR,79.09,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
609,Acajutla,SV,80.51,overcast clouds,13.5928,-89.8275,Laureles
613,Lawrenceburg,US,86.0,broken clouds,38.0373,-84.8966,Best Western Lawrenceburg Inn
615,Makakilo City,US,81.01,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
618,Arroyo,ES,78.15,clear sky,41.6096,-4.7969,Hotel El Jardín de la Abadía
619,Nikki,BJ,77.83,scattered clouds,9.9401,3.2108,Monnon
620,Pundaguitan,PH,82.49,broken clouds,6.3711,126.1689,Leonardo Family Beach House 1
626,Nador,MA,80.67,clear sky,35.174,-2.9287,Hôtel La Giralda
628,Matara,LK,76.71,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
632,Carauari,BR,82.44,broken clouds,-4.8828,-66.8958,Hotel Fellip
636,Tutoia,BR,79.61,light rain,-2.7619,-42.2744,Pousada Guará's
640,Fasa,IR,76.24,clear sky,28.9383,53.6482,Fasa University Boys' Dormitory
641,Tazmalt,DZ,83.34,overcast clouds,36.3868,4.3989,Hôtel Numédia
642,Thanh Hoa,VN,78.85,light rain,19.8,105.7667,KHÁCH SẠN NGỌC LY 8
643,Galesburg,US,82.98,broken clouds,40.9478,-90.3712,"Holiday Inn Express & Suites Galesburg, an IHG Hotel"
644,Harper,LR,75.97,moderate rain,4.375,-7.7169,Screensaver
655,Trinidad,BO,87.78,scattered clouds,-14.8333,-64.9,Hotel Piesta
661,Yazoo City,US,88.7,overcast clouds,32.8551,-90.4056,Hampton Inn Yazoo City
663,Griffith,US,76.3,overcast clouds,41.5284,-87.4237,Apartment above Depot Bar
