City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
70,Guerrero Negro,MX,27.9769,-114.0611,70.21,68,46,18.84,scattered clouds
71,Torbay,CA,47.6666,-52.7314,58.75,65,46,3.0,scattered clouds
72,Lompoc,US,34.6391,-120.4579,75.34,74,75,21.0,mist
73,Flinders,AU,-34.5833,150.8552,52.38,65,0,14.0,clear sky
74,Yulara,AU,-25.2406,130.9889,47.82,59,92,10.71,overcast clouds
75,Port Macquarie,AU,-31.4333,152.9167,43.9,76,0,8.16,clear sky
76,Murgab,TM,37.4966,61.9714,81.88,12,0,7.83,clear sky
77,Gushikawa,JP,26.3544,127.8686,73.4,94,75,5.75,mist
78,Kaitangata,NZ,-46.2817,169.8464,47.89,72,100,5.44,overcast clouds
79,Manakara,MG,-22.1333,48.0167,69.4,85,96,6.46,moderate rain
80,Fayaoue,NC,-20.65,166.5333,75.9,72,29,10.27,scattered clouds
81,Tasiilaq,GL,65.6145,-37.6368,41.16,66,100,3.18,overcast clouds
82,Ust-Donetskiy,RU,47.6419,40.8718,61.18,71,41,7.36,scattered clouds
83,Lebu,CL,-37.6167,-73.65,54.07,79,98,14.99,overcast clouds
84,Algiers,DZ,36.7525,3.042,73.22,78,75,8.05,broken clouds
85,Ribeira Grande,PT,38.5167,-28.7,66.6,94,75,13.8,broken clouds
86,Fukue,JP,32.6881,128.8419,67.39,80,49,11.9,scattered clouds
87,Cape Town,ZA,-33.9258,18.4232,67.91,41,0,3.44,clear sky
88,Olinda,BR,-8.0089,-34.8553,74.93,94,100,11.5,mist
89,Kapaa,US,22.0752,-159.319,78.12,83,40,9.22,scattered clouds
90,Kashira,RU,54.8444,38.1669,58.33,73,100,8.5,overcast clouds
91,Enumclaw,US,47.2043,-121.9915,61.75,72,96,5.75,overcast clouds
92,Namtsy,RU,62.7161,129.6658,60.84,66,64,1.36,broken clouds
93,Sinnamary,GF,5.3833,-52.95,79.81,82,100,7.38,overcast clouds
94,Bluff,NZ,-46.6,168.3333,49.06,73,100,14.2,overcast clouds
95,Qandala,SO,11.472,49.8728,89.46,48,68,6.64,broken clouds
96,East London,ZA,-33.0153,27.9116,67.14,59,0,6.91,clear sky
97,Adrar,MR,20.5022,-10.0711,102.07,8,100,15.08,overcast clouds
98,Sept-Iles,CA,50.2001,-66.3821,62.06,61,29,4.0,scattered clouds
99,Port Hardy,CA,50.6996,-127.4199,52.59,84,100,8.97,overcast clouds
100,Moanda,GA,-1.5575,13.2178,73.2,88,74,0.31,light rain
101,Georgetown,MY,5.4112,100.3354,78.73,89,40,4.61,thunderstorm with light rain
102,Chapais,CA,49.7834,-74.8492,62.37,57,100,2.57,overcast clouds
103,Kavieng,PG,-2.5744,150.7967,81.41,78,28,9.66,light rain
104,Fairbanks,US,64.8378,-147.7164,69.03,33,11,1.01,few clouds
105,Bethel,US,41.3712,-73.414,84.18,40,22,3.0,few clouds
106,Touros,BR,-5.1989,-35.4608,81.54,72,3,12.86,clear sky
107,Gobabis,NA,-22.45,18.9667,51.93,40,0,11.68,clear sky
108,Rock Sound,BS,24.9,-76.2,75.63,92,100,10.22,overcast clouds
109,Avarua,CK,-21.2078,-159.775,78.85,83,75,8.05,broken clouds
110,Goiatuba,BR,-18.0125,-49.3547,83.37,25,7,5.86,clear sky
111,Ramsar,IR,36.9226,50.6426,78.4,67,4,4.18,clear sky
112,Necochea,AR,-38.5473,-58.7368,62.6,51,1,8.9,clear sky
113,Panama City,PA,8.9936,-79.5197,86.38,77,40,11.5,scattered clouds
114,Katsuura,JP,35.1333,140.3,63.63,91,100,16.28,overcast clouds
115,Tagusao,PH,9.1924,117.8141,79.21,83,100,3.58,overcast clouds
116,Kudahuvadhoo,MV,2.6708,72.8944,82.67,73,88,7.67,overcast clouds
117,Gat,IL,31.61,34.7642,76.41,100,10,4.7,clear sky
118,Tocache,PE,-8.1842,-76.5125,88.16,49,37,0.85,scattered clouds
119,Hokitika,NZ,-42.7167,170.9667,51.78,84,100,6.15,light rain
120,Kisangani,CD,0.5167,25.2,76.51,71,96,2.24,overcast clouds
121,Rojhan,PK,28.6868,69.9534,96.69,22,0,16.73,clear sky
122,Bilibino,RU,68.0546,166.4372,35.64,61,84,6.53,broken clouds
123,Saint George,US,37.1041,-113.5841,95.79,16,0,8.05,clear sky
124,Mabaruma,GY,8.2,-59.7833,72.14,99,100,4.27,overcast clouds
125,Kahului,US,20.8947,-156.47,84.22,67,0,17.27,clear sky
126,Nouadhibou,MR,20.931,-17.0347,73.38,68,40,16.11,sand
127,Fuyang,CN,32.9,115.8167,70.59,54,1,10.58,clear sky
128,Vestmannaeyjar,IS,63.4427,-20.2734,50.99,93,100,16.11,mist
129,Kloulklubed,PW,7.0419,134.2556,82.72,72,100,3.0,overcast clouds
130,Luderitz,NA,-26.6481,15.1594,67.44,38,0,6.22,clear sky
131,Padang,ID,-0.9492,100.3543,75.25,87,100,3.51,overcast clouds
132,Udachnyy,RU,66.4167,112.4,43.12,86,100,3.85,overcast clouds
133,Bubaque,GW,11.2833,-15.8333,81.01,82,100,17.2,overcast clouds
134,Maniwaki,CA,46.3834,-75.966,69.67,47,100,6.22,overcast clouds
135,Iqaluit,CA,63.7506,-68.5145,49.69,57,100,18.01,overcast clouds
136,Vardo,NO,70.3705,31.1107,44.58,81,0,3.44,clear sky
137,Alice Springs,AU,-23.7,133.8833,42.35,100,100,0.0,overcast clouds
138,Nantucket,US,41.2835,-70.0995,71.71,62,0,8.05,clear sky
139,Kununurra,AU,-15.7667,128.7333,80.58,61,88,5.75,overcast clouds
140,Anloga,GH,5.7947,0.8973,80.49,74,70,7.45,light rain
141,Chuy,UY,-33.6971,-53.4616,57.85,77,100,7.29,overcast clouds
142,Cachoeira Do Sul,BR,-30.0392,-52.8939,63.91,98,100,2.53,light rain
143,Hirara,JP,24.8,125.2833,80.01,81,100,4.21,heavy intensity rain
144,Teknaf,BD,20.8624,92.3058,79.92,87,25,1.7,scattered clouds
145,Arraial Do Cabo,BR,-22.9661,-42.0278,76.86,47,0,18.41,clear sky
146,Kaeo,NZ,-35.1,173.7833,52.32,96,99,5.19,overcast clouds
147,Tandil,AR,-37.3217,-59.1332,64.69,41,85,4.88,overcast clouds
148,Imbituba,BR,-28.24,-48.6703,65.08,99,100,3.0,moderate rain
149,Ponta Do Sol,PT,32.6667,-17.1,75.0,81,79,1.07,broken clouds
150,Saskylakh,RU,71.9167,114.0833,35.53,77,11,4.43,few clouds
151,Vieksniai,LT,56.2333,22.5167,59.97,85,100,7.09,overcast clouds
152,Nanortalik,GL,60.1432,-45.2371,41.34,77,100,3.13,overcast clouds
153,Busselton,AU,-33.65,115.3333,51.01,71,0,12.75,clear sky
154,San Patricio,US,28.017,-97.5169,95.72,38,0,20.09,clear sky
155,San Lorenzo,PY,-25.3333,-57.5333,70.74,78,100,9.22,overcast clouds
156,Lodwar,KE,3.1191,35.5973,89.19,31,99,6.29,overcast clouds
157,Fortuna,US,40.5982,-124.1573,62.92,79,100,10.36,overcast clouds
158,Albania,AL,41.0,20.0,74.75,62,0,0.56,clear sky
159,Maldonado,UY,-34.6667,-54.9167,54.79,73,100,4.7,overcast clouds
160,Bom Jesus Da Lapa,BR,-13.255,-43.4181,87.89,19,6,6.33,clear sky
161,Buala,SB,-8.145,159.5921,78.91,84,45,7.9,scattered clouds
162,Los Llanos De Aridane,ES,28.6585,-17.9182,70.12,74,40,18.41,scattered clouds
163,Homer,US,59.6425,-151.5483,58.77,84,86,3.0,overcast clouds
164,Broken Hill,AU,-31.95,141.4333,44.62,81,7,10.38,clear sky
165,Flin Flon,CA,54.7682,-101.865,66.9,37,93,4.97,overcast clouds
166,San Quintin,MX,30.4833,-115.95,69.91,71,5,18.21,clear sky
167,Hasaki,JP,35.7333,140.8333,63.28,88,100,17.96,overcast clouds
168,Bredasdorp,ZA,-34.5322,20.0403,59.94,41,8,3.22,clear sky
169,New Norfolk,AU,-42.7826,147.0587,40.71,87,22,1.01,few clouds
